,independence_year,population,life_expectancy,gnp,gnp_old
128,1991.0,2424200,68.4,6398.0,5639.0
129,,473000,81.6,5749.0,5940.0
130,1956.0,28351000,69.1,36124.0,33514.0
131,1861.0,34000,78.8,776.0,
132,1991.0,4380000,64.5,1579.0,1872.0
133,1960.0,15942000,55.0,3750.0,3545.0
134,1965.0,286000,62.2,199.0,
135,1810.0,98881000,71.5,414972.0,401461.0
136,1990.0,64000,65.5,97.0,
137,1991.0,2024000,73.8,1694.0,1915.0
138,1960.0,11234000,46.7,2642.0,2453.0
139,1964.0,380200,77.9,3512.0,3338.0
140,1948.0,45611000,54.9,180375.0,171028.0
141,1921.0,2662000,67.3,1043.0,933.0
142,,78000,75.5,0.0,
143,1975.0,19680000,37.5,2891.0,2711.0
144,1960.0,2670000,50.8,998.0,1081.0
145,,11000,78.0,109.0,
146,,395000,78.3,2731.0,2559.0
147,1968.0,1158000,71.0,4251.0,4186.0
148,1964.0,10925000,37.6,1687.0,2527.0
149,1957.0,22244000,70.8,69213.0,97884.0
150,,149000,59.5,0.0,
151,1990.0,1726000,42.5,3101.0,3384.0
152,,214000,72.8,3563.0,
153,1960.0,10730000,41.3,1706.0,1580.0
154,,2000,,0.0,
155,1960.0,111506000,51.6,65707.0,58623.0
156,1838.0,5074000,68.7,1988.0,2023.0
157,,2000,,0.0,
158,1581.0,15864000,78.3,371362.0,360478.0
159,1905.0,4478500,78.7,145895.0,153370.0
160,1769.0,23930000,57.8,4768.0,4837.0
161,1968.0,12000,60.8,197.0,
162,1907.0,3862000,77.8,54669.0,64960.0
163,1951.0,2542000,71.8,16904.0,16153.0
164,1947.0,156483000,61.1,61289.0,58549.0
165,1903.0,2856000,75.5,9131.0,8700.0
166,,50,,0.0,
167,1821.0,25662000,70.0,64140.0,65186.0
168,1946.0,75967000,67.5,65107.0,82239.0
169,1994.0,19000,68.6,105.0,
170,1975.0,4807000,63.1,4988.0,6328.0
171,1918.0,38653600,73.2,151697.0,135636.0
172,,3869000,75.6,34100.0,32100.0
173,1948.0,24039000,70.7,5332.0,
174,1143.0,9997600,75.8,105954.0,102133.0
175,1811.0,5496000,73.7,8444.0,9555.0
176,,3101000,71.4,4173.0,
177,,235000,74.8,818.0,781.0
178,1971.0,599000,72.4,9472.0,8920.0
179,,699000,72.7,8287.0,7988.0
180,1878.0,22455500,69.9,38158.0,34843.0
181,1991.0,146934000,67.2,276608.0,442989.0
182,1962.0,7733000,39.3,2036.0,1863.0
183,1932.0,21607000,67.8,137635.0,146171.0
184,1956.0,29490000,56.6,10162.0,
185,1960.0,9481000,62.2,4787.0,4542.0
186,1965.0,3567000,80.1,86503.0,96318.0
187,,0,,0.0,
188,,6000,76.8,0.0,
189,,3200,,0.0,
190,1978.0,444000,71.3,182.0,220.0
191,1961.0,4854000,45.3,746.0,858.0
192,1841.0,6276000,69.7,11863.0,11203.0
193,885.0,27000,81.1,510.0,
194,1960.0,10097000,46.2,935.0,
195,,7000,77.6,0.0,
196,1975.0,147000,65.3,6.0,
197,1975.0,417000,71.4,870.0,706.0
198,1993.0,5398700,73.7,20594.0,19452.0
199,1991.0,1987800,74.9,19756.0,18202.0
200,836.0,8861400,79.6,226492.0,227757.0
201,1968.0,1008000,40.4,1206.0,1312.0
202,1976.0,77000,70.4,536.0,539.0
203,1941.0,16125000,68.5,65984.0,64926.0
204,,17000,73.3,96.0,
205,1960.0,7651000,50.5,1208.0,1102.0
206,1960.0,4629000,54.7,1449.0,1400.0
207,1350.0,61399000,68.6,116416.0,153907.0
208,1991.0,6188000,64.1,1990.0,1056.0
209,,2000,,0.0,
210,1991.0,4459000,60.9,4397.0,2000.0
211,,885000,46.0,0.0,
212,1970.0,99000,67.9,146.0,170.0
213,1962.0,1295000,68.0,6232.0,5867.0
214,1956.0,9586000,73.7,20026.0,18898.0
215,1923.0,66591000,71.0,210721.0,189122.0
216,1978.0,12000,66.3,6.0,
217,1945.0,22256000,76.4,256254.0,263451.0
218,1961.0,33517000,52.3,8005.0,7388.0
219,1962.0,21778000,42.9,6313.0,6887.0
220,1991.0,50456000,66.0,42168.0,49677.0
221,,0,,0.0,
222,1828.0,3337000,75.2,20831.0,19967.0
223,1776.0,278357000,77.1,8510700.0,8110900.0
224,1991.0,24318000,63.7,14194.0,21300.0
225,1929.0,1000,,9.0,
226,1979.0,114000,72.3,285.0,
227,1811.0,24170000,73.1,95023.0,88434.0
228,,21000,75.4,612.0,573.0
229,,93000,78.1,0.0,
230,1945.0,79832000,69.3,21929.0,22834.0
231,1980.0,190000,60.6,261.0,246.0
232,,15000,,0.0,
233,1962.0,180000,69.2,141.0,157.0
234,1918.0,18112000,59.8,6041.0,5729.0
235,1918.0,10640000,72.4,17000.0,
236,1910.0,40377000,51.1,116729.0,129092.0
237,1964.0,9169000,37.2,3377.0,3922.0
238,1980.0,11669000,37.8,5951.0,8670.0
